R1	2019	1	1	0	05	0.0
R1	2019	1	1	0	10	0.0
R1	2019	1	1	0	15	0.0
R1	2019	1	1	0	20	0.0
R1	2019	1	1	0	25	0.0
R1	2019	1	1	0	30	0.0
R1	2019	1	1	0	35	0.0
R1	2019	1	1	0	40	0.0
R1	2019	1	1	0	45	0.0
R1	2019	1	1	0	50	0.0
R1	2019	1	1	0	55	0.0
R1	2019	1	1	1	00	0.0
R1	2019	1	1	1	05	0.63
R1	2019	1	1	1	10	0.79
R1	2019	1	1	1	15	0.98
R1	2019	1	1	1	20	1.23
R1	2019	1	1	1	25	1.57
R1	2019	1	1	1	30	2.03
R1	2019	1	1	1	35	2.67
R1	2019	1	1	1	40	3.6
R1	2019	1	1	1	45	5.0
R1	2019	1	1	1	50	7.22
R1	2019	1	1	1	55	10.95
R1	2019	1	1	2	00	17.75
R1	2019	1	1	2	05	30.92
R1	2019	1	1	2	10	23.26
R1	2019	1	1	2	15	13.81
R1	2019	1	1	2	20	8.83
R1	2019	1	1	2	25	5.98
R1	2019	1	1	2	30	4.23
R1	2019	1	1	2	35	3.09
R1	2019	1	1	2	40	2.32
R1	2019	1	1	2	45	1.78
R1	2019	1	1	2	50	1.39
R1	2019	1	1	2	55	1.1
R1	2019	1	1	3	00	0.88
R1	2019	1	1	3	05	0.7
R1	2019	1	1	3	10	0.0
R1	2019	1	1	3	15	0.0
R1	2019	1	1	3	20	0.0
R1	2019	1	1	3	25	0.0
R1	2019	1	1	3	30	0.0
R1	2019	1	1	3	35	0.0
R1	2019	1	1	3	40	0.0
R1	2019	1	1	3	45	0.0
R1	2019	1	1	3	50	0.0
R1	2019	1	1	3	55	0.0
R1	2019	1	1	4	00	0.0
R1	2019	1	1	4	04	0.0
