R1	2019	1	1	0	05	0.0
R1	2019	1	1	0	10	0.0
R1	2019	1	1	0	15	0.0
R1	2019	1	1	0	20	0.0
R1	2019	1	1	0	25	0.0
R1	2019	1	1	0	30	0.0
R1	2019	1	1	0	35	0.0
R1	2019	1	1	0	40	0.0
R1	2019	1	1	0	45	0.0
R1	2019	1	1	0	50	0.0
R1	2019	1	1	0	55	0.0
R1	2019	1	1	1	00	0.0
R1	2019	1	1	1	05	1.51
R1	2019	1	1	1	10	1.88
R1	2019	1	1	1	15	2.37
R1	2019	1	1	1	20	3.03
R1	2019	1	1	1	25	3.94
R1	2019	1	1	1	30	5.25
R1	2019	1	1	1	35	7.18
R1	2019	1	1	1	40	10.18
R1	2019	1	1	1	45	15.1
R1	2019	1	1	1	50	23.74
R1	2019	1	1	1	55	39.66
R1	2019	1	1	2	00	30.52
R1	2019	1	1	2	05	18.78
R1	2019	1	1	2	10	12.32
R1	2019	1	1	2	15	8.5
R1	2019	1	1	2	20	6.11
R1	2019	1	1	2	25	4.53
R1	2019	1	1	2	30	3.45
R1	2019	1	1	2	35	2.67
R1	2019	1	1	2	40	2.11
R1	2019	1	1	2	45	1.68
R1	2019	1	1	2	50	0.0
R1	2019	1	1	2	55	0.0
R1	2019	1	1	3	00	0.0
R1	2019	1	1	3	05	0.0
R1	2019	1	1	3	10	0.0
R1	2019	1	1	3	15	0.0
R1	2019	1	1	3	20	0.0
R1	2019	1	1	3	25	0.0
R1	2019	1	1	3	30	0.0
R1	2019	1	1	3	35	0.0
R1	2019	1	1	3	40	0.0
R1	2019	1	1	3	45	0.0
